"","SYMBOL","ENTREZID","ENSEMBL"
"290","MAPK14","1432","ENSG00000112062"
"291","CSF1R","1436","ENSG00000182578"
"292","CSNK2A1","1457","ENSG00000101266"
"293","DDX6","1656","ENSG00000110367"
"294","E2F2","1870","ENSG00000007968"
"295","E2F2","1870","ENSG00000282899"
"296","ENO1","2023","ENSG00000074800"
"297","ERBB3","2065","ENSG00000065361"
"298","ESR1","2099","ENSG00000091831"
"299","FKBP5","2289","ENSG00000096060"
"300","NR3C1","2908","ENSG00000113580"
"302","HIF1A","3091","ENSG00000100644"
"303","HMGB1","3146","ENSG00000189403"
"304","HSPA1B","3304","ENSG00000204388"
"305","HSPA1B","3304","ENSG00000232804"
"306","HSPA1B","3304","ENSG00000231555"
"307","HSPA1B","3304","ENSG00000224501"
"308","HSPA1B","3304","ENSG00000212866"
"309","HTR2C","3358","ENSG00000147246"
"311","CXCR2","3579","ENSG00000180871"
"312","INSIG1","3638","ENSG00000186480"
"313","IRF5","3663","ENSG00000128604"
"314","RPSA","3921","ENSG00000168028"
"315","LBP","3929","ENSG00000129988"
"316","LGALS1","3956","ENSG00000100097"
"317","LGALS9","3965","ENSG00000168961"
"318","MAOA","4128","ENSG00000189221"
"319","MAX","4149","ENSG00000125952"
"320","MMP14","4323","ENSG00000157227"
"321","MTHFR","4524","ENSG00000177000"
"322","MYC","4609","ENSG00000136997"
"323","MYO6","4646","ENSG00000196586"
"324","PDHA1","5160","ENSG00000131828"
"325","PIK3C2A","5286","ENSG00000011405"
"326","PPARA","5465","ENSG00000186951"
"327","PRKACA","5566","ENSG00000072062"
"328","PRKACA","5566","ENSG00000288516"
"329","PTEN","5728","ENSG00000171862"
"330","PTEN","5728","ENSG00000284792"
"331","PTMS","5763","ENSG00000159335"
"332","PEX5","5830","ENSG00000139197"
"333","PEX5","5830","ENSG00000288217"
"334","RAB5B","5869","ENSG00000111540"
"335","RAP2B","5912","ENSG00000181467"
"336","RBL1","5933","ENSG00000080839"
"337","RGS2","5997","ENSG00000116741"
"338","RPL24","6152","ENSG00000114391"
"339","RPL35A","6165","ENSG00000182899"
